time_sec,dbfs
0.0,-38.42053939822359
0.1,-39.8829711157222
0.2,-36.59639810192162
0.3,-39.10795487534894
0.4,-41.031317141780036
0.5,-41.346458675833816
0.6,-41.904014833732134
0.7,-39.329363950212
0.8,-40.73015506273882
0.9,-40.16073143907625
1.0,-37.728552548222794
1.1,-39.19169418320585
1.2,-39.01758868894127
1.3,-36.6764509486793
1.4,-36.660388855965365
1.5,-38.24667244582716
1.6,-35.91949507684354
1.7,-38.82550001866392
1.8,-39.15952558642205
1.9,-39.2103030699301
2.0,-40.74196509480117
2.1,-38.86030496869882
2.2,-38.355775246140055
2.3,-39.2180571159865
2.4,-40.9465083430363
2.5,-41.45426079430302
2.6,-39.90338466857216
2.7,-39.77982644945152
2.8,-40.99950466445109
2.9,-41.86715677697002
3.0,-39.261951409542554
3.1,-39.143637983201856
3.2,-38.639709666149656
3.3,-40.13497177245001
3.4,-38.958649617076205
3.5,-36.854521538432536
3.6,-41.87929761291322
3.7,-35.89301587642438
3.8,-42.18130476524354
3.9,-38.44256931462042
4.0,-37.889942519340984
4.1,-38.21215166851325
4.2,-36.21795489879313
4.3,-39.94256976469806
4.4,-38.461720329833746
4.5,-39.59427129511581
4.6,-37.55876165115162
4.7,-38.40307249668723
4.8,-39.378904654340126
4.9,-40.39579727588571
5.0,-40.3208068912953
5.1,-38.43667079168916
5.2,-40.35193891638357
5.3,-38.64705406991302
5.4,-38.042783697303484
5.5,-38.296398141086684
5.6,-39.92184490502525
5.7,-40.505339626419
5.8,-38.776880152277954
5.9,-39.54106403539826
6.0,-39.238959909343144
6.1,-38.19950190439481
6.2,-40.999993304633755
6.3,-41.16526003156168
6.4,-39.4306028618007
6.5,-39.9149960277679
6.6,-38.75877883183483
6.7,-39.6456097183444
6.8,-42.092513742003575
6.9,-40.716883098594806
7.0,-41.29638663906539
7.1,-41.336363534796156
7.2,-42.20006178244511
7.3,-38.99736190073042
7.4,-39.58266330378636
7.5,-39.036931357247965
7.6,-36.33239628299719
7.7,-32.383013338978586
7.8,-35.71613860506259
7.9,-34.95102966895589
8.0,-37.346799898116295
8.1,-38.89909160593837
8.2,-35.51334150460175
8.3,-35.501089829080655
8.4,-35.58851776424227
8.5,-39.00273626192912
8.6,-37.208380256099524
8.7,-38.68922962737534
8.8,-39.40064130630159
8.9,-40.2997868296378
9.0,-39.21780060978052
9.1,-39.90558481526229
9.2,-37.25111998642952
9.3,-38.15312470988867
9.4,-38.08347678321442
9.5,-40.4268432646421
9.6,-39.326906753612725
9.7,-36.974804727833806
9.8,-38.01224803109184
9.9,-40.460656436016855
10.0,-39.05399248454165
10.1,-38.024021491754574
10.2,-40.1641703167993
10.3,-37.17758696552298
10.4,-38.3171389635151
10.5,-34.074298453524456
10.6,-40.65339021682155
10.7,-36.276780083808816
10.8,-38.532984182435676
10.9,-35.96638050372742
11.0,-37.04201761081621
11.1,-37.02341796400222
11.2,-38.46122816308945
11.3,-40.08555491592715
11.4,-37.34798060830018
11.5,-37.36730171618013
11.6,-38.86792129414629
11.7,-39.43249114924001
11.8,-37.109949635389384
11.9,-40.05132466405756
12.0,-38.28180679031976
12.1,-40.65296135647528
12.2,-37.20071920612333
12.3,-38.36058573975351
12.4,-41.22782280154762
12.5,-41.08049122810947
12.6,-40.76644766122753
12.7,-41.43933595412297
12.8,-38.801604281099856
12.9,-40.370461183353484
13.0,-40.81039177301494
13.1,-39.42042237850579
13.2,-40.14325021089679
13.3,-40.63308165185542
13.4,-38.76039147609645
13.5,-35.26984189475676
13.6,-36.7238764641472
13.7,-38.32145204796777
13.8,-37.60370888311057
13.9,-35.94181532463672
14.0,-32.54433785569455
14.1,-34.47338345832081
14.2,-38.0746780421178
14.3,-36.17719896038472
14.4,-36.514635961754344
14.5,-36.8792792580637
14.6,-35.67533205344517
14.7,-36.31062188887433
14.8,-37.15721547297802
14.9,-34.46435650509126
15.0,-36.490390415174275
15.1,-35.46816609734319
15.2,-36.49112032217695
15.3,-35.09525090741698
15.4,-38.983596370358185
15.5,-37.68907379420588
15.6,-39.371536818406724
15.7,-34.533251922281366
15.8,-34.895471312263794
15.9,-35.36337579374023
16.0,-35.17990489317816
16.1,-38.93813765627493
16.2,-40.070627028870035
16.3,-40.40398232393923
16.4,-41.12544045732322
16.5,-38.23483188962615
16.6,-37.08643524725452
16.7,-36.48349239985832
16.8,-37.54784618454724
16.9,-38.88830092007052
17.0,-39.206957818535855
17.1,-38.177593293054834
17.2,-36.225027144264736
17.3,-36.62516440786631
17.4,-36.64839535321518
17.5,-40.91952115362787
17.6,-40.62628019933199
17.7,-40.503790157540244
17.8,-36.33268537146894
17.9,-38.159002086135445
18.0,-40.13575914179465
18.1,-40.28693637781203
18.2,-40.08585959485572
18.3,-38.18664444133012
18.4,-40.825570180367016
18.5,-40.68874942097531
18.6,-40.865499770762156
18.7,-41.0862728776189
18.8,-37.33489455645321
18.9,-36.55211266458725
19.0,-39.55786584635281
19.1,-41.232232700904206
19.2,-38.18788258710942
19.3,-39.40018539429631
19.4,-38.61569009261037
19.5,-38.73818946473675
19.6,-36.875202226597274
19.7,-39.50235936181658
19.8,-40.38794081732142
19.9,-39.70787191687028
20.0,-37.803476840964876
20.1,-37.833658725110396
20.2,-37.24665741999005
20.3,-39.812516798595425
20.4,-41.43173299481764
20.5,-38.361761996424065
20.6,-37.444005131837265
20.7,-40.07523749160584
20.8,-37.145787923744265
20.9,-38.080302524539476
21.0,-37.35011486171548
21.1,-40.10300438119089
21.2,-40.109131308811385
21.3,-39.931957961196495
21.4,-40.79432303892656
21.5,-37.07991558055532
21.6,-38.55424917342317
21.7,-38.288782239219536
21.8,-36.247392040381584
21.9,-36.63754139798166
22.0,-36.668152246138895
22.1,-34.79921989883409
22.2,-36.80013292801354
22.3,-40.67015850508922
22.4,-35.88407106511652
22.5,-40.841773511356635
22.6,-39.937518878575304
22.7,-40.35775254902181
22.8,-37.54893449049132
22.9,-36.62054167299398
23.0,-39.52438987171577
23.1,-37.71378673657012
23.2,-38.745762396433996
23.3,-38.435250288444394
23.4,-38.10853750115687
23.5,-39.69010352226617
23.6,-38.540574283727615
23.7,-39.04214469451994
23.8,-40.169575869792496
23.9,-40.53343082889291
24.0,-42.06745013469606
24.1,-35.641858935907294
24.2,-37.34423723890637
24.3,-40.32508407361626
24.4,-38.922945916965766
24.5,-37.83982679272263
24.6,-39.37782858119241
24.7,-41.74265667112089
24.8,-41.57550236168553
24.9,-40.85502294293529
25.0,-37.84826533119332
25.1,-39.66372102007944
25.2,-41.94075314094083
25.3,-41.98124781952271
25.4,-39.54894652649985
25.5,-38.5341861980184
25.6,-37.462484802998446
25.7,-36.971917368587924
25.8,-38.77401390032348
25.9,-35.30731119909917
26.0,-37.542087860484784
26.1,-37.94483983491204
26.2,-39.090889735973754
26.3,-38.90682745653648
26.4,-40.84476656076621
26.5,-40.07615184155093
26.6,-38.928136761057445
26.7,-37.72483145201672
26.8,-38.93364952264934
26.9,-38.75299223123068
27.0,-38.32744170457793
27.1,-37.24807898317937
27.2,-41.627658142907585
27.3,-41.68831786331552
27.4,-41.46370819466866
27.5,-41.625849430044966
27.6,-40.81475050965378
27.7,-39.729350464969954
27.8,-37.288658015460086
27.9,-33.66074137727604
28.0,-36.72243145517361
28.1,-35.11699800929601
28.2,-39.121664485110585
28.3,-37.05772378021639
28.4,-37.49586154905009
28.5,-35.98865559291461
28.6,-37.7477050620065
28.7,-37.68790129152494
28.8,-35.76777879088129
28.9,-36.51233024897647
29.0,-34.98205114195473
29.1,-35.96108754180676
29.2,-38.73034709116005
29.3,-37.49105644975954
29.4,-37.3630026887126
29.5,-37.56862669635201
29.6,-37.9447738005475
29.7,-36.95966143118869
29.8,-38.97743029287415
29.9,-36.10796151094191
30.0,-35.71129402301686
30.1,-36.0172289233301
30.2,-37.39575700144046
30.3,-37.96741598727207
30.4,-37.777074682289204
30.5,-36.61574644158805
30.6,-37.826339689808925
30.7,-34.59625023227546
30.8,-35.725965848029595
30.9,-34.96870932862994
31.0,-36.542495474708005
31.1,-36.404843179820794
31.2,-35.38946508961294
31.3,-34.52013206957432
31.4,-34.83895662262536
31.5,-36.338268253849094
31.6,-36.85922561252292
31.7,-34.99497421782846
31.8,-35.162034483129545
31.9,-35.91721818375943
32.0,-35.14309236888571
32.1,-34.640106466856594
32.2,-35.170494521653
32.3,-34.84384856580971
32.4,-38.17714398921404
32.5,-35.926476974977646
32.6,-36.652802770064994
32.7,-36.235739615039236
32.8,-35.7104712036231
32.9,-33.68052478956558
33.0,-33.866435309496325
33.1,-34.426907648340745
33.2,-35.42901199128639
33.3,-32.614066043554814
33.4,-35.66274803587693
33.5,-35.93434409385101
33.6,-33.169815144604186
33.7,-34.462522079683865
33.8,-35.366984256049506
33.9,-32.67061911070041
34.0,-34.60455212688361
34.1,-33.17235525685338
34.2,-34.71711562574224
34.3,-35.617086212131326
34.4,-35.49894835224153
34.5,-35.95074465927806
34.6,-33.39929894014442
34.7,-34.30921932458671
34.8,-34.12051531286234
34.9,-34.64341896133924
35.0,-33.97073769900149
35.1,-35.68619640758164
35.2,-34.142855464276906
35.3,-35.78401146687029
35.4,-35.92840766489699
35.5,-33.343873052547636
35.6,-34.22055558181537
35.7,-34.06760755678724
35.8,-35.480481623032595
35.9,-33.33388108484422
36.0,-34.52307553252425
36.1,-35.33775558227746
36.2,-35.694166118046766
36.3,-36.891701427576486
36.4,-37.279912211974576
36.5,-37.11787151739021
36.6,-39.337712989302496
36.7,-37.71659372291664
36.8,-34.96705388345266
36.9,-35.128361928015856
37.0,-37.53312496937178
37.1,-37.73744491030232
37.2,-39.3981591522615
37.3,-38.31648601301718
37.4,-34.52762345594228
37.5,-36.181732684255834
37.6,-38.08556911193073
37.7,-40.096057530838394
37.8,-37.125092031757546
37.9,-34.81184099397877
38.0,-35.681592973436295
38.1,-36.40946064219352
38.2,-36.21891463741037
38.3,-37.76927735564291
38.4,-38.09437965004869
38.5,-38.236501381904795
38.6,-38.30692438751687
38.7,-36.36539048011602
38.8,-31.03493666872465
38.9,-32.415014930733136
39.0,-35.126745274049874
39.1,-39.02287773529536
39.2,-38.04703482173355
39.3,-38.64089376604508
39.4,-37.672717994644564
39.5,-37.97036217006771
39.6,-35.369112199244086
39.7,-35.87939809693351
